活動名稱	產物	0
无忧梦呓-商店	寻访凭证	3
无忧梦呓-商店	模组数据块	2
无忧梦呓-商店	聚合剂	5
无忧梦呓-商店	酮阵列	10
无忧梦呓-商店	晶体电路	10
无忧梦呓-商店	转质盐聚块	10
无忧梦呓-商店	暗红夜空纹毯	1
无忧梦呓-商店	尖顶书柜	1
无忧梦呓-商店	古堡小桌	1
无忧梦呓-商店	寻梦者之椅	5
无忧梦呓-商店	数据增补仪	10
无忧梦呓-商店	数据增补条	60
无忧梦呓-商店	固源岩组	15
无忧梦呓-商店	异铁组	10
无忧梦呓-商店	龙门币	500000
无忧梦呓-商店	高级作战记录×2	25
无忧梦呓-商店	中级作战记录×2	50
无忧梦呓-商店	初级作战记录×2	120
无忧梦呓-商店	技巧概要·卷3	25
无忧梦呓-商店	技巧概要·卷2	50
无忧梦呓-商店	糖	25
无忧梦呓-商店	异铁	25
无忧梦呓-商店	装置	25
无忧梦呓-商店	近卫芯片	5
无忧梦呓-商店	特种芯片	5
无忧梦呓-商店	家具零件×10	200
梦城堡模拟训练	龙门币	30000
梦城堡模拟训练	资深干员特训装置	1
梦城堡模拟训练	专业干员特训装置	1
梦城堡模拟训练	资深干员特训邀请函	1
梦城堡模拟训练	专业干员特训邀请函	1
梦城堡模拟训练	中级作战记录	45
梦城堡模拟训练	技巧概要·卷2	20
梦城堡模拟训练	晶体元件	4
梦城堡模拟训练	凝胶	6
梦城堡模拟训练	固源岩组	6
次生预案	“应急备案”生态缸	0
次生预案	龙门币	90000
次生预案	高级作战记录	32
次生预案	中级作战记录	64
次生预案	技巧概要·卷3	20
次生预案	技巧概要·卷2	40
次生预案	模组数据块	1
次生预案	烧结核凝晶	2
次生预案	双极纳米片	4
次生预案	聚合剂	18
次生预案	切削原液	6
次生预案	半自然溶剂	18
次生预案	五水研磨石	6
次生预案	全新装置	18
次生预案	家具零件	800
反常光谱-活动商店	应急理智小样	20
反常光谱-活动商店	模组数据块	2
反常光谱-活动商店	重相位对映体	2
反常光谱-活动商店	异铁块	3
反常光谱-活动商店	环烃预制体	3
反常光谱-活动商店	小型圆凳	2
反常光谱-活动商店	战术解析板	1
反常光谱-活动商店	镂空圆沙发	1
反常光谱-活动商店	智能工作台	1
反常光谱-活动商店	数据增补仪	8
反常光谱-活动商店	数据增补条	40
反常光谱-活动商店	全新装置	5
反常光谱-活动商店	环烃聚质	5
反常光谱-活动商店	RMA70-12	5
反常光谱-活动商店	龙门币×2000	20
反常光谱-活动商店	高级作战记录	10
反常光谱-活动商店	中级作战记录×2	20
反常光谱-活动商店	技巧概要·卷3	10
反常光谱-活动商店	技巧概要·卷2×2	20
反常光谱-活动商店	糖	10
反常光谱-活动商店	聚酸酯	10
反常光谱-活动商店	酮凝集	10
反常光谱-活动商店	家具零件×10	20
反常光谱-推演计分	至纯源石	1
反常光谱-推演计分	H16-1 访问权	1
反常光谱-推演计分	H16-2 访问权	1
反常光谱-推演计分	切削原液	1
反常光谱-推演计分	H16-3 访问权	1
反常光谱-推演计分	晶体电路	1
反常光谱-推演计分	提纯源岩	1
反常光谱-推演计分	炽合金块	1
反常光谱-推演计分	重相位对映体	1
「促融共竞」#2	个人名片头像一览#助威团成员	1
「促融共竞」#2	贾维	1
「促融共竞」#2	龙门币	90000
「促融共竞」#2	高级作战记录	32
「促融共竞」#2	中级作战记录	6
「促融共竞」#2	技巧概要·卷3	20
「促融共竞」#2	技巧概要·卷2	40
「促融共竞」#2	模组数据块	1
「促融共竞」#2	晶体电子单元	2
「促融共竞」#2	转质盐组	18
「促融共竞」#2	聚合凝胶	8
「促融共竞」#2	凝胶	18
「促融共竞」#2	提纯源岩	8
「促融共竞」#2	聚酸酯组	18
「促融共竞」#2	家具零件	800
岁的界园志异 DLC		0
雪山降临1101	阶段商品1：溯光星源的信物	1
雪山降临1101	阶段商品2：溯光星源的信物	1
雪山降临1101	阶段商品3：溯光星源的信物	1
雪山降临1101	阶段商品4：溯光星源的信物	1
雪山降临1101	阶段商品5：溯光星源的信物	1
雪山降临1101	寻访凭证	3
雪山降临1101	模组数据块	3
雪山降临1101	烧结核凝晶	5
雪山降临1101	酮阵列	10
雪山降临1101	炽合金块	10
雪山降临1101	精炼溶剂	10
雪山降临1101	转质盐聚块	10
雪山降临1101	淡色拼接地毯	1
雪山降临1101	雪山投影灯	1
雪山降临1101	简约石几	1
雪山降临1101	喀兰贸易壁纸	1
雪山降临1101	谢拉格石地板	1
雪山降临1101	数据增补仪	10
雪山降临1101	数据增补条	60
雪山降临1101	异铁组	15
雪山降临1101	酮凝集组	15
雪山降临1101	炽合金	15
雪山降临1101	半自然溶剂	15
雪山降临1101	龙门币×5000	120
雪山降临1101	高级作战记录×2	30
雪山降临1101	中级作战记录×2	50
雪山降临1101	初级作战记录×2	150
雪山降临1101	技巧概要·卷3	25
雪山降临1101	技巧概要·卷2	50
雪山降临1101	固源岩	40
雪山降临1101	糖	30
雪山降临1101	聚酸酯	30
雪山降临1101	异铁	25
雪山降临1101	酮凝集	25
雪山降临1101	装置	20
雪山降临1101	辅助芯片	5
雪山降临1101	家具零件×10	200
